ruta_id,aeropuerto_origen,aeropuerto_destino,distancia_km,tipo_ruta,demanda,operadores_principales,frecuencia_semanal,activa,mes_anio,tiempo_vuelo_estimado_min,tarifa_media_eur,num_competidores
RT0001,MAD,BCN,620,Doméstica,alta,"Iberia,Vueling,Air Europa,Iberia Express",9,True,2026-01,81,330.87,4
RT0002,MAD,PMI,554,Doméstica,alta,"Iberia,Vueling,Air Europa",15,True,2026-01,76,447.99,3
RT0003,MAD,SVQ,521,Doméstica,media,"Iberia,Vueling",6,True,2026-01,73,216.81,2
RT0004,MAD,AGP,538,Doméstica,media,"Iberia,Vueling,Ryanair",9,True,2026-01,74,222.37,3
RT0005,MAD,VLC,356,Doméstica,media,"Iberia,Vueling,Air Europa",4,True,2026-01,59,128.25,3
RT0006,MAD,BIO,394,Doméstica,media,"Iberia,Vueling",6,True,2026-01,62,43.73,2
RT0007,MAD,LPA,1875,Doméstica,alta,"Iberia,Vueling,Air Europa,Binter",20,True,2026-01,186,130.5,4
RT0008,MAD,TFS,1949,Doméstica,alta,"Iberia,Vueling",10,True,2026-01,192,37.98,2
RT0009,MAD,TFN,1879,Doméstica,media,"Iberia,Air Nostrum",1,True,2026-01,186,130.01,2
RT0010,MAD,ACE,1888,Doméstica,media,"Iberia,Vueling",1,True,2026-01,187,391.75,2
RT0011,MAD,FUE,1963,Doméstica,media,"Iberia,Vueling",2,True,2026-01,193,248.37,2
RT0012,MAD,IBZ,739,Doméstica,media,"Iberia,Vueling",5,True,2026-01,91,312.63,2
RT0013,MAD,OVD,439,Doméstica,media,"Iberia,Vueling,Air Nostrum",4,True,2026-01,66,258.78,3
RT0014,MAD,SCQ,610,Doméstica,media,"Iberia,Vueling,Air Nostrum",10,True,2026-01,80,274.13,3
RT0015,MAD,LCG,589,Doméstica,baja,"Iberia,Air Nostrum",2,True,2026-01,79,360.62,2
RT0016,MAD,SPC,1876,Doméstica,baja,"Iberia,Binter",4,True,2026-01,186,114.02,2
RT0017,MAD,GRX,428,Doméstica,baja,"Iberia,Vueling",1,True,2026-01,65,308.48,2
RT0018,MAD,MAH,706,Doméstica,baja,"Iberia,Vueling",3,True,2026-01,88,210.79,2
RT0019,MAD,ZAZ,299,Doméstica,baja,"Iberia,Vueling",4,True,2026-01,54,393.49,2
RT0020,MAD,LEI,456,Doméstica,baja,Iberia,1,True,2026-01,68,314.45,1
RT0021,BCN,PMI,187,Doméstica,media,"Vueling,Ryanair,easyJet",2,True,2026-01,45,60.15,3
RT0022,BCN,SVQ,846,Doméstica,media,"Vueling,Ryanair",6,True,2026-01,100,367.25,2
